energy_label_types,hoekwoning,meergezinspand_hoog,meergezinspand_laag_midden,tussenwoning,twee_onder_1_kap,vrijstaand
Appartement,59,9484,9097,244,23,17
Flatwoning (overig),2727,669441,644078,10261,1074,998
Galerijwoning,196,127485,88538,709,44,20
Logieswoning,0,0,0,3,0,19
Maisonnette,1458,65437,121379,8268,267,167
Portiekwoning,312,58736,70567,1145,36,15
Rijwoning hoek,4041,4,122,578,597,41
Rijwoning tussen,9549,1921,15817,1114819,2132,508
Twee-onder-een-kap / rijwoning hoek,515763,367,11901,137458,269657,2708
Twee-onder-één-kap,303,0,65,573,2043,11
Vrijstaande woning,19608,51,2218,18832,24434,336198
Woongebouw met niet-zelfstandige woonruimte,20,270,295,49,5,45
Woonwagen,0,0,0,0,0,2
