year,A,A+,A++,A+++,A++++,A+++++,B,C,D,E,F,G
1850,278,2,2,0,0,0,241,602,615,470,522,947
1851,8,0,0,0,0,0,6,24,23,8,9,20
1852,21,0,0,0,0,0,2,12,12,3,17,22
1853,2,0,0,0,0,0,4,6,12,11,12,29
1854,12,0,1,0,0,0,29,26,19,5,7,18
1855,7,0,0,0,0,0,12,26,16,9,13,35
1856,5,0,0,0,0,0,6,15,12,7,13,32
1857,10,0,0,0,0,0,2,13,10,8,9,28
1858,2,0,0,0,0,0,3,42,46,6,10,30
1859,25,0,0,0,0,0,33,104,131,16,14,44
1860,81,0,0,0,0,0,105,273,281,244,280,356
1861,7,0,0,0,0,0,2,13,18,16,18,27
1862,4,0,0,0,0,0,13,40,25,10,14,34
1863,13,0,0,0,0,0,18,14,61,49,8,38
1864,30,0,0,0,0,0,26,28,39,31,19,40
1865,36,0,0,0,0,0,43,88,100,49,64,95
1866,39,0,0,0,0,0,13,139,51,19,24,30
1867,15,0,0,0,0,0,5,19,34,26,30,41
1868,5,0,0,0,0,0,10,25,34,11,61,51
1869,12,0,0,0,0,0,7,16,14,17,23,41
1870,127,2,2,0,1,0,86,264,315,203,249,494
1871,16,0,0,0,0,0,10,24,23,18,35,47
1872,27,0,0,0,0,0,26,81,94,60,67,140
1873,45,0,0,0,0,0,11,63,44,34,36,80
1874,61,0,0,0,0,0,13,50,90,60,53,66
1875,142,1,0,0,0,0,98,328,335,224,235,337
1876,108,1,0,0,0,0,53,147,126,114,88,150
1877,70,0,0,1,0,0,54,155,128,60,71,103
1878,66,0,0,0,0,0,96,158,141,84,100,136
1879,80,0,0,0,0,0,84,169,245,111,129,131
1880,323,1,0,0,0,0,285,766,901,730,802,1304
1881,122,0,0,0,0,0,221,430,358,233,171,192
1882,237,0,0,0,0,0,107,317,266,204,134,193
1883,86,0,0,0,0,0,138,207,265,169,118,196
1884,144,6,2,0,0,0,102,218,218,120,90,148
1885,159,0,0,0,0,0,154,337,351,301,246,347
1886,127,2,1,0,0,0,124,277,268,166,106,189
1887,178,0,0,0,0,0,196,333,271,194,163,219
1888,95,0,0,0,0,0,103,332,326,200,168,217
1889,132,1,0,0,0,0,110,288,270,213,158,178
1890,442,1,0,0,0,0,332,1070,1099,872,1137,1476
1891,177,0,0,0,0,0,114,299,309,180,166,221
1892,105,0,0,0,0,0,190,314,344,261,158,297
1893,133,0,0,0,0,0,149,354,296,285,193,258
1894,155,0,0,0,0,0,209,390,389,268,216,253
1895,281,0,1,0,0,0,402,747,811,623,588,741
1896,227,2,0,0,0,0,310,610,585,328,325,384
1897,313,0,0,0,0,0,294,621,531,364,272,303
1898,214,0,0,0,0,0,319,800,589,378,318,463
1899,332,1,0,0,0,0,344,782,761,464,419,552
1900,1453,7,6,6,0,0,1471,3541,3927,2686,3407,5490
1901,394,1,0,0,0,0,370,964,1102,755,844,1226
1902,324,1,3,0,0,0,427,951,878,556,550,699
1903,427,2,0,0,0,0,432,1099,1054,717,728,830
1904,430,1,0,0,0,0,512,1291,1251,881,903,1048
1905,771,3,2,0,0,0,894,2474,2434,1871,1791,2298
1906,547,1,0,0,0,0,587,1588,2034,1428,1585,1863
1907,254,0,0,0,0,0,243,687,807,581,584,774
