pc6_count,count
1,10088
2,8571
3,8003
4,9756
5,9518
6,12116
7,10708
8,14869
9,12669
10,16520
11,14262
12,22175
13,16446
14,21740
15,18771
16,24634
17,16407
18,23205
19,15156
20,20042
21,14127
22,14275
23,10869
24,18695
25,9433
26,6795
27,5147
28,5351
29,3723
30,4066
31,2851
32,3175
33,2300
34,2292
35,1868
36,2145
37,1475
38,1506
39,1280
40,1423
41,1037
42,1099
43,826
44,971
45,783
46,753
47,633
48,782
49,530
50,601
51,493
52,475
53,395
54,458
55,344
56,428
57,327
58,358
59,308
60,384
61,265
62,269
63,247
64,257
65,213
66,216
67,204
68,209
69,179
70,186
71,168
72,215
73,166
74,160
75,142
76,149
77,122
78,126
79,129
80,149
81,96
82,104
83,109
84,120
85,86
86,96
87,78
88,100
89,75
90,80
91,72
92,70
93,66
94,68
95,57
96,63
97,54
98,56
99,61
100,41
101,47
102,64
103,48
104,50
105,38
106,56
107,38
108,43
109,39
110,41
111,38
112,34
113,30
114,50
115,32
116,27
117,39
118,30
119,39
120,32
121,22
122,26
123,21
124,30
125,32
126,21
127,25
128,22
129,24
130,20
131,25
132,24
133,19
134,16
135,26
136,18
137,15
138,19
139,21
140,18
141,16
142,15
143,19
144,13
145,15
146,18
147,13
148,13
149,20
150,20
151,11
152,10
153,10
154,13
155,10
156,15
157,13
158,7
159,9
160,13
161,16
162,9
163,8
164,5
165,7
166,9
167,4
168,9
169,8
170,6
171,8
172,9
173,13
174,6
175,14
176,10
177,5
178,3
179,5
180,5
181,5
182,6
183,7
184,9
185,4
186,4
187,1
188,5
189,6
190,3
191,4
192,3
193,6
194,2
195,5
196,4
197,5
198,4
199,5
200,5
201,5
202,5
203,5
204,1
205,3
206,5
207,8
208,2
209,6
210,3
211,2
212,5
213,3
214,1
216,1
217,3
218,7
219,8
220,4
221,3
222,4
223,5
224,2
225,2
226,2
227,4
228,2
229,8
231,1
232,5
233,8
234,2
235,2
236,1
237,3
238,2
239,2
240,5
241,2
242,2
243,4
244,1
246,5
247,1
248,4
249,2
250,3
251,3
252,3
253,3
254,2
255,1
256,3
257,1
258,1
261,3
263,1
264,1
265,2
266,2
267,1
268,2
270,1
271,1
272,2
273,1
274,1
275,1
276,4
278,3
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,1
289,2
290,1
294,2
295,2
297,2
298,1
299,1
300,2
301,2
302,3
303,2
304,1
305,1
306,1
307,1
310,2
311,2
312,1
313,2
315,1
316,1
322,1
323,2
324,1
325,1
326,1
327,1
328,1
331,1
332,1
335,1
336,3
338,1
340,1
341,2
343,1
344,3
345,1
348,1
349,2
354,1
355,2
357,1
358,3
361,1
365,1
366,2
371,2
373,1
375,1
380,1
382,1
384,1
398,1
399,1
401,1
404,1
406,1
408,1
412,1
415,1
419,3
422,1
430,1
431,1
437,1
439,1
441,1
443,1
448,1
450,1
451,1
452,1
455,1
456,1
461,1
465,2
466,1
481,1
484,1
492,1
498,1
499,1
500,1
502,1
504,1
512,2
513,1
516,1
539,1
551,1
554,1
560,1
566,1
576,1
583,1
586,1
596,1
616,1
622,1
626,1
648,1
651,1
670,1
682,1
706,1
711,1
727,1
754,1
801,1
860,1
1049,1
