year,EP,EPA,"ISSO82.3, versie 3.0, oktober 2011",NTA-8800 (basisopname woningbouw),NTA-8800 (detailopname woningbouw),"Nader Voorschrift, versie 1.0, 1 februari 2014 met erratalijst dd 03-11-201","Nader Voorschrift, versie 1.0, 1 februari 2014 met erratalijst, addendum 1 juli 2018","Rekenmethodiek Definitief Energielabel, versie 1.2, 16 september 2014"
2011.0,27863,114358,0,0,0,0,0,0
2012.0,34380,155172,2460,0,0,0,2,0
2013.0,32902,133496,3952,0,0,0,2,0
2014.0,13354,60730,107083,0,0,0,16,0
2015.0,0,0,0,0,0,174980,125,255005
2016.0,0,0,0,0,0,222040,607,221245
2017.0,0,0,0,0,0,281487,6700,219551
2018.0,0,0,0,0,0,147745,233572,207669
2019.0,0,0,0,0,0,0,462167,219213
2020.0,0,0,0,2396,98,0,396288,791043
2021.0,0,0,0,42055,10490,0,0,0
