bouwjaar,woningtype,epi_imputed,epi_pc6_average
1984,meergezinspand_laag_midden,1.451,1.4509999752044678
2015,tussenwoning,0.938,0.9380000233650208
1968,meergezinspand_hoog,1.451,1.5331956251807835
1968,meergezinspand_hoog,1.451,1.506666640440623
1965,meergezinspand_hoog,2.612,1.8405555453565385
1970,meergezinspand_hoog,2.184,2.1857058931799496
1970,meergezinspand_hoog,2.184,2.1857058931799496
2006,tussenwoning,0.938,0.9380000233650208
1927,tussenwoning,2.612,2.5638888809416027
1927,tussenwoning,2.184,2.5638888809416027
1954,tussenwoning,0.938,0.9380000233650208
2012,meergezinspand_hoog,0.938,0.9380000233650208
1993,tussenwoning,1.2,1.0035000294446945
1995,tussenwoning,1.22,1.1871111359861162
1885,meergezinspand_laag_midden,2.184,2.084000004662408
1930,meergezinspand_hoog,3.237,2.95515998840332
1923,meergezinspand_laag_midden,0.938,1.7981818101622842
1956,meergezinspand_laag_midden,0.938,1.1250000238418578
1970,meergezinspand_hoog,1.44,1.4769423248676152
1923,hoekwoning,2.184,2.3609999895095823
2012,meergezinspand_hoog,0.938,1.0061081277357566
1921,tussenwoning,2.184,2.397375002503395
1921,tussenwoning,2.184,2.397375002503395
1978,meergezinspand_hoog,1.785,1.8313999772071838
1930,tussenwoning,3.237,2.230909087441184
1931,tussenwoning,2.612,2.0830999970436097
1914,hoekwoning,3.237,2.4889999826749167
1952,meergezinspand_laag_midden,1.451,1.6824117478202372
1922,tussenwoning,0.938,0.9380000233650208
1970,meergezinspand_hoog,1.451,2.164249986410141
1966,meergezinspand_hoog,1.15,1.150833323597908
1966,meergezinspand_hoog,1.21,1.1462499797344208
1969,meergezinspand_hoog,1.451,1.5525908903642134
1977,tussenwoning,1.2,1.310333338048723
1977,hoekwoning,1.451,1.3045833508173625
1980,meergezinspand_hoog,1.785,1.705545437335968
1998,hoekwoning,0.938,1.1476000428199769
1970,tussenwoning,1.2,1.486071424824851
1986,meergezinspand_laag_midden,0.938,1.2279375083744526
1926,meergezinspand_laag_midden,3.237,1.9408571379525321
1973,tussenwoning,1.785,1.6179999709129333
1938,tussenwoning,1.2,2.447166661421458
1930,tussenwoning,2.612,2.4416249841451645
1976,tussenwoning,1.451,1.51411997795105
1973,tussenwoning,1.451,1.4973333146837022
2020,meergezinspand_laag_midden,0.938,0.9380000233650208
2003,meergezinspand_hoog,1.2,1.035975030064583
2002,hoekwoning,0.938,1.0130370656649272
2002,tussenwoning,0.938,0.9380000233650208
1974,meergezinspand_hoog,1.2,1.1011818268082358
1962,hoekwoning,1.451,1.7913846098459685
2014,meergezinspand_laag_midden,0.938,0.9380000233650208
2004,meergezinspand_laag_midden,0.938,1.029130466606306
