CMDLINE /usr/bin/python3 pipeline.py
MEM 1.136719 1625036504.4127
MEM 25.835938 1625036504.5131
MEM 38.140625 1625036504.6134
MEM 54.007812 1625036504.7136
MEM 67.375000 1625036504.8139
MEM 79.996094 1625036504.9142
MEM 87.078125 1625036505.0145
MEM 95.996094 1625036505.1148
MEM 100.101562 1625036505.2151
MEM 100.101562 1625036505.3156
MEM 100.101562 1625036505.4160
MEM 100.101562 1625036505.5165
MEM 100.101562 1625036505.6168
MEM 100.101562 1625036505.7171
MEM 100.101562 1625036505.8173
MEM 100.101562 1625036505.9178
MEM 100.101562 1625036506.0181
MEM 100.101562 1625036506.1184
MEM 100.101562 1625036506.2187
MEM 100.101562 1625036506.3190
MEM 100.101562 1625036506.4193
MEM 100.101562 1625036506.5197
MEM 100.101562 1625036506.6201
MEM 100.101562 1625036506.7204
MEM 100.101562 1625036506.8211
MEM 100.101562 1625036506.9217
MEM 100.101562 1625036507.0223
MEM 100.101562 1625036507.1230
MEM 100.101562 1625036507.2237
MEM 100.093750 1625036507.3243
MEM 100.093750 1625036507.4248
MEM 100.093750 1625036507.5252
MEM 99.007812 1625036507.6254
MEM 97.558594 1625036507.7257
MEM 95.906250 1625036507.8260
MEM 94.828125 1625036507.9263
MEM 93.410156 1625036508.0265
MEM 93.203125 1625036508.1268
MEM 92.781250 1625036508.2271
MEM 92.707031 1625036508.3274
MEM 92.699219 1625036508.4277
MEM 92.699219 1625036508.5280
MEM 92.699219 1625036508.6286
MEM 92.699219 1625036508.7290
MEM 92.187500 1625036508.8294
MEM 91.375000 1625036508.9300
MEM 91.113281 1625036509.0305
MEM 90.464844 1625036509.1310
MEM 90.179688 1625036509.2315
MEM 90.035156 1625036509.3318
MEM 90.035156 1625036509.4324
MEM 90.035156 1625036509.5328
MEM 90.003906 1625036509.6331
MEM 90.000000 1625036509.7338
MEM 90.000000 1625036509.8341
MEM 89.976562 1625036509.9345
MEM 89.957031 1625036510.0351
MEM 89.894531 1625036510.1355
MEM 92.906250 1625036510.2359
MEM 95.214844 1625036510.3362
MEM 95.238281 1625036510.4364
MEM 95.492188 1625036510.5366
MEM 95.750000 1625036510.6369
MEM 95.750000 1625036510.7372
MEM 95.750000 1625036510.8375
MEM 95.750000 1625036510.9378
MEM 95.750000 1625036511.0381
MEM 95.750000 1625036511.1384
MEM 95.750000 1625036511.2386
MEM 95.750000 1625036511.3389
MEM 95.750000 1625036511.4392
MEM 95.750000 1625036511.5395
MEM 95.750000 1625036511.6398
MEM 95.750000 1625036511.7401
MEM 95.750000 1625036511.8406
MEM 96.148438 1625036511.9408
MEM 96.164062 1625036512.0411
MEM 96.164062 1625036512.1414
MEM 96.417969 1625036512.2417
MEM 96.417969 1625036512.3419
MEM 96.785156 1625036512.4422
MEM 96.785156 1625036512.5424
MEM 97.042969 1625036512.6427
MEM 97.179688 1625036512.7430
MEM 97.179688 1625036512.8432
MEM 97.433594 1625036512.9435
MEM 97.433594 1625036513.0437
MEM 97.433594 1625036513.1440
MEM 97.691406 1625036513.2443
MEM 97.691406 1625036513.3446
MEM 98.046875 1625036513.4449
MEM 98.046875 1625036513.5451
MEM 98.300781 1625036513.6454
MEM 98.300781 1625036513.7457
MEM 98.535156 1625036513.8459
MEM 98.535156 1625036513.9462
MEM 98.789062 1625036514.0464
MEM 98.789062 1625036514.1467
MEM 98.972656 1625036514.2469
MEM 98.972656 1625036514.3472
MEM 98.972656 1625036514.4474
MEM 99.226562 1625036514.5477
MEM 99.406250 1625036514.6481
MEM 99.406250 1625036514.7483
MEM 99.660156 1625036514.8486
MEM 99.859375 1625036514.9489
MEM 99.859375 1625036515.0491
MEM 100.113281 1625036515.1494
MEM 100.113281 1625036515.2497
MEM 100.300781 1625036515.3499
MEM 100.554688 1625036515.4502
MEM 100.554688 1625036515.5505
MEM 100.738281 1625036515.6507
MEM 100.992188 1625036515.7510
MEM 101.187500 1625036515.8513
MEM 101.187500 1625036515.9515
MEM 101.441406 1625036516.0518
MEM 101.699219 1625036516.1521
MEM 101.699219 1625036516.2523
MEM 101.957031 1625036516.3526
MEM 101.957031 1625036516.4528
MEM 101.957031 1625036516.5531
MEM 102.214844 1625036516.6534
MEM 102.214844 1625036516.7536
MEM 102.472656 1625036516.8539
MEM 102.472656 1625036516.9542
MEM 102.730469 1625036517.0544
MEM 102.988281 1625036517.1547
MEM 102.988281 1625036517.2549
MEM 103.246094 1625036517.3552
MEM 103.503906 1625036517.4555
MEM 103.503906 1625036517.5557
MEM 103.761719 1625036517.6560
MEM 103.878906 1625036517.7563
MEM 103.878906 1625036517.8565
MEM 104.132812 1625036517.9568
MEM 104.132812 1625036518.0570
MEM 104.390625 1625036518.1573
MEM 104.390625 1625036518.2576
MEM 104.648438 1625036518.3578
MEM 104.906250 1625036518.4581
MEM 104.906250 1625036518.5583
MEM 105.175781 1625036518.6586
MEM 105.175781 1625036518.7589
MEM 105.429688 1625036518.8591
MEM 105.429688 1625036518.9594
MEM 105.699219 1625036519.0598
MEM 105.953125 1625036519.1601
MEM 106.210938 1625036519.2603
MEM 106.468750 1625036519.3606
MEM 106.726562 1625036519.4609
MEM 106.726562 1625036519.5611
MEM 106.984375 1625036519.6614
MEM 107.242188 1625036519.7618
MEM 107.500000 1625036519.8620
MEM 107.500000 1625036519.9623
MEM 107.890625 1625036520.0626
MEM 108.144531 1625036520.1628
MEM 108.402344 1625036520.2631
MEM 108.402344 1625036520.3634
MEM 108.660156 1625036520.4636
MEM 108.917969 1625036520.5639
MEM 109.175781 1625036520.6642
MEM 109.433594 1625036520.7645
MEM 109.691406 1625036520.8647
MEM 109.839844 1625036520.9651
MEM 110.093750 1625036521.0653
MEM 110.378906 1625036521.1656
MEM 110.644531 1625036521.2659
MEM 110.644531 1625036521.3662
MEM 110.722656 1625036521.4664
MEM 110.980469 1625036521.5667
MEM 110.980469 1625036521.6669
MEM 111.226562 1625036521.7675
MEM 111.226562 1625036521.8678
MEM 111.226562 1625036521.9680
MEM 111.226562 1625036522.0683
MEM 111.226562 1625036522.1686
MEM 111.226562 1625036522.2689
MEM 111.226562 1625036522.3692
MEM 111.226562 1625036522.4694
MEM 111.226562 1625036522.5697
MEM 111.226562 1625036522.6699
MEM 111.226562 1625036522.7702
MEM 111.226562 1625036522.8705
MEM 111.226562 1625036522.9708
MEM 111.226562 1625036523.0711
MEM 111.226562 1625036523.1714
MEM 111.226562 1625036523.2717
MEM 111.226562 1625036523.3720
MEM 111.226562 1625036523.4722
MEM 111.226562 1625036523.5725
MEM 111.226562 1625036523.6728
MEM 111.226562 1625036523.7731
MEM 111.226562 1625036523.8734
MEM 111.171875 1625036523.9736
MEM 111.171875 1625036524.0739
MEM 111.171875 1625036524.1742
MEM 111.171875 1625036524.2745
MEM 111.171875 1625036524.3748
MEM 111.171875 1625036524.4751
